Series ID,Year,Period,Label,Value
CUUSS49BSAH,1999,S01,1999 Half1,182.7
CUUSS49BSAH,1999,S02,1999 Half2,188.4
CUUSS49BSAH,2000,S01,2000 Half1,193.5
CUUSS49BSAH,2000,S02,2000 Half2,200.5
CUUSS49BSAH,2001,S01,2001 Half1,213.3
CUUSS49BSAH,2001,S02,2001 Half2,219.7
CUUSS49BSAH,2002,S01,2002 Half1,220.9
CUUSS49BSAH,2002,S02,2002 Half2,222.0
CUUSS49BSAH,2003,S01,2003 Half1,223.6
CUUSS49BSAH,2003,S02,2003 Half2,223.7
CUUSS49BSAH,2004,S01,2004 Half1,221.2
CUUSS49BSAH,2004,S02,2004 Half2,221.9
CUUSS49BSAH,2005,S01,2005 Half1,222.9
CUUSS49BSAH,2005,S02,2005 Half2,224.8
CUUSS49BSAH,2006,S01,2006 Half1,229.0
CUUSS49BSAH,2006,S02,2006 Half2,232.0
CUUSS49BSAH,2007,S01,2007 Half1,236.954
CUUSS49BSAH,2007,S02,2007 Half2,239.226
CUUSS49BSAH,2008,S01,2008 Half1,240.469
CUUSS49BSAH,2008,S02,2008 Half2,244.653
CUUSS49BSAH,2009,S01,2009 Half1,246.353
CUUSS49BSAH,2009,S02,2009 Half2,245.984
CUUSS49BSAH,2010,S01,2010 Half1,244.648
CUUSS49BSAH,2010,S02,2010 Half2,245.718
CUUSS49BSAH,2011,S01,2011 Half1,247.002
CUUSS49BSAH,2011,S02,2011 Half2,250.956
CUUSS49BSAH,2012,S01,2012 Half1,254.643
CUUSS49BSAH,2012,S02,2012 Half2,259.642
CUUSS49BSAH,2013,S01,2013 Half1,263.948
CUUSS49BSAH,2013,S02,2013 Half2,268.888
CUUSS49BSAH,2014,S01,2014 Half1,273.607
CUUSS49BSAH,2014,S02,2014 Half2,281.407
CUUSS49BSAH,2015,S01,2015 Half1,288.879
CUUSS49BSAH,2015,S02,2015 Half2,296.682
CUUSS49BSAH,2016,S01,2016 Half1,304.445
CUUSS49BSAH,2016,S02,2016 Half2,314.177
CUUSS49BSAH,2017,S01,2017 Half1,321.756
CUUSS49BSAH,2017,S02,2017 Half2,327.004
CUUSS49BSAH,2018,S01,2018 Half1,333.944
CUUSS49BSAH,2018,S02,2018 Half2,339.969
CUUSS49BSAH,2019,S01,2019 Half1,344.829
CUUSS49BSAH,2019,S02,2019 Half2,350.124
CUUSS49BSAH,2020,S01,2020 Half1,356.930
CUUSS49BSAH,2020,S02,2020 Half2,359.733
CUUSS49BSAH,2021,S01,2021 Half1,363.449
CUUSS49BSAH,2021,S02,2021 Half2,364.794
CUUSS49BSAH,2022,S01,2022 Half1,371.815
CUUSS49BSAH,2022,S02,2022 Half2,378.829
CUUSS49BSAH,2023,S01,2023 Half1,391.026
